;Tweets;len;ID;Created;Source;Likes;RTs
37;Overthinking masuk ke dalam kategori gangguan psikologis karena menimbulkan kecemasan pada penderitanya. Apakah kam… https://t.co/4tCOuXLYHr;140;1579432267587674116;2022-10-10 11:22:51+00:00;Echobox;7;0
38;Di hari pertama berbagai penampil tampil dengan aksinya yang luar biasa. Salah satunya Souljah. Mereka berhasil hib… https://t.co/RMtMLg8frr;140;1579431594460602368;2022-10-10 11:20:11+00:00;Echobox;6;0
39;Jajanan cakwe dan kue bantal enak dimakan kapan saja. Keduanya cocok jadi camilan di sore hari untuk teman ngeteh h… https://t.co/g8gzdP9iP9;140;1579431307259834369;2022-10-10 11:19:02+00:00;Echobox;4;1
40;Manga Chainsaw Man berhasil dapat penghargaan terbaik di ajang New York Comic Con selama dua tahun berturut-turut!   https://t.co/h4iNjjwD5H;140;1579431067034918912;2022-10-10 11:18:05+00:00;Echobox;9;1
41;Belasan pelajar di Gunungkidul terjaring razia karena berkeliaran di jam sekolah. Salah seorang di antaranya bahkan… https://t.co/tByn6uO7Mz;140;1579431028053008385;2022-10-10 11:17:56+00:00;Echobox;7;4
42;Polri mengakui ada temuan gas air mata kedaluwarsa di Tragedi Kanjuruhan. Anggota TGIPF, Rhenald Kasali, menyebut h… https://t.co/4fTkjYAbmx;140;1579430670858072064;2022-10-10 11:16:30+00:00;Echobox;14;6
43;Gempa bumi magnitudo 4,6 terjadi di Kabupaten Aceh Singkil, Aceh. Gempa ini tak berpotensi menimbulkan tsunami. Gem… https://t.co/J6kYn0HjLM;140;1579430665338003456;2022-10-10 11:16:29+00:00;Echobox;8;3
44;Beberapa selebriti Indonesia banyak yang masih doyan jajanan kaki lima meski terkenal. Seperti pasangan Raffi Ahmad… https://t.co/LtNKiwyPkf;140;1579430418851696641;2022-10-10 11:15:30+00:00;Echobox;3;1
45;Penelitian sejarah harus melalui sejumlah tahapan atau langkah-langkah tertentu. Apa saja dan seperti apa contohnya? https://t.co/gOQ9p5egj4;140;1579430390162657281;2022-10-10 11:15:24+00:00;Echobox;7;1
46;Tak kalah enak dari kedai bakmi tradisional legendaris. Ada beberapa tempat makan bakmi kekinian yang jadi incaran… https://t.co/b9DMlh3ItE;139;1579430131663196160;2022-10-10 11:14:22+00:00;Echobox;7;1
47;Sosialisasi politik tentunya sangat penting dalam kehidupan sosial. Kenali pengertian hingga cara kerjanya. https://t.co/aF4wfycs4g;131;1579430101489713152;2022-10-10 11:14:15+00:00;Echobox;5;2
48;Derai tangis Nani Muldiani tak terhindarkan saat menceritakan sosok Novita Kurnia Putri, anaknya yang tewas diberon… https://t.co/HqKPytpGe5;140;1579429681883156481;2022-10-10 11:12:35+00:00;Echobox;6;4
49;Penutup got di underpass Jl Raya Sholeh Iskandar (Sholis) Kota Bogor masih rusak dan kembali memakan korban. https://t.co/Xm9txAgEjE;132;1579428555552792577;2022-10-10 11:08:06+00:00;Echobox;5;1
50;Security Official Arema FC, Suko Sutrisno mengaku tak pernah memerintahkan menutup pintu stadion saat tragedi pecah… https://t.co/W0vX6Bs5XA;140;1579428174710345728;2022-10-10 11:06:35+00:00;Echobox;7;3
51;Tamin (70), petani di Desa Sukowidi ditemukan meninggal di sawah. Ia ditemukan anaknya yang curiga tak kunjung pula… https://t.co/aZ5JfTBLJv;140;1579428167944613888;2022-10-10 11:06:34+00:00;Echobox;4;1
52;"Perkara saklar speaker azan, seorang pria di Kabupaten Jepara tewas dianiaya keponakannya sendiri.

Via… https://t.co/cXfGSrBn7p";128;1579426781861249025;2022-10-10 11:01:03+00:00;Echobox;3;1
53;Temuan terbaru, adanya gas air mata kedaluwarsa digunakan polisi di tragedi Kanjuruhan. Hal ini disampaikan Komnas… https://t.co/m1rTxSjo8F;139;1579426747006607360;2022-10-10 11:00:55+00:00;Echobox;15;1
54;Tamin (70), petani di Desa Sukowidi ditemukan meninggal di sawah. Ia ditemukan anaknya yang curiga tak kunjung pula… https://t.co/eFobUx0pjh;140;1579425902861352963;2022-10-10 10:57:34+00:00;Echobox;2;2
55;Casemiro pada pertandingan dini hari tadi, sempat jadi pesakitan yang bikin gawang MU kebobolan, selanjutnya bikin… https://t.co/t5mNG5cPxE;139;1579425277620649984;2022-10-10 10:55:05+00:00;Echobox;3;1
56;Sejumlah polisi di Malang melakukan aksi sujud massal usai menggelar apel pagi di halaman Polresta Malang, Jawa Tim… https://t.co/EbAxUK6jVY;140;1579425245211283456;2022-10-10 10:54:57+00:00;Echobox;22;3
57;Garuda Indonesia menghadirkan potongan harga tiket pesawat hingga 15% untuk berbagai rute favorit disertai penawara… https://t.co/7705gXtIhS;140;1579424901639049218;2022-10-10 10:53:35+00:00;Echobox;7;1
58;Wali Kota Solo Gibran Rakabuming Raka bicara soal gugatan dugaan ijazah palsu Presiden Joko Widodo (Jokowi). https://t.co/4QSHiEB5iH;132;1579424869737168898;2022-10-10 10:53:27+00:00;Echobox;19;3
59;Ketum Partai Pandai Farhat Abbas melaporkan Denise Chariesta ke Polda Metro Jaya. Buntut penghinaan 'partai bodoh'. https://t.co/bF6lmFffXX;139;1579424864259125248;2022-10-10 10:53:26+00:00;Echobox;6;2
60;Nusyirwan kritik Anies yang bilang penanganan banjir Jakarta lebih cepat surut. PDIP menilai keberhasilan penangana… https://t.co/lXnZ2PvCeE;140;1579424344014405632;2022-10-10 10:51:22+00:00;Echobox;5;2
61;"Irwan mengungkapkan saat diperiksa petugas, salah satu dari keduanya kedapatan membawa busur panah.
Via:… https://t.co/tQzTKsmCHJ";129;1579424312419024899;2022-10-10 10:51:15+00:00;Echobox;3;1
62;"Sebuah postingan yang menunjukan kelakuan seorang penumpang KRL, viral di media sosial Twitter. Begini faktanya.

V… https://t.co/2mzzENfDpi";140;1579423939801264128;2022-10-10 10:49:46+00:00;Echobox;15;8
63;PDIP terus membangun komunikasi dengan parpol lain untuk menjajaki kerja sama 2024. Usai NasDem, Gerindra, PKB dan… https://t.co/SP2oYXuiPo;139;1579423899158093824;2022-10-10 10:49:36+00:00;Echobox;2;1
64;Sebanyak 720 orang di Klaten yang sudah meninggal terdaftar menjadi penerima BLT BBM. Begini penjelasan Pemkab Klat… https://t.co/My0jhZLe4E;140;1579422626375561217;2022-10-10 10:44:33+00:00;Echobox;14;6
65;Video rombongan pengantin menaiki rakit menembus derasnya sungai viral di media sosial. Peristiwa itu terjadi di Su… https://t.co/ucnMXjF099;140;1579422246778458113;2022-10-10 10:43:02+00:00;Echobox;5;2
66;"""Butuh waktu juga kalau Hasto ingin mendengarkan paparan yang komprehensif tentang pola penanganan banjir di DKI Ja… https://t.co/LjLCTx7RLt";140;1579421901541507072;2022-10-10 10:41:40+00:00;Echobox;4;1
67;Sekjen PDIP Hasto Kristiyanto menyentil parpol yang mengusung Anies Baswedan sebagai capres Pilpres 2024. Hasto men… https://t.co/S1jFx8Sqe0;140;1579421897032314880;2022-10-10 10:41:39+00:00;Echobox;6;1
68;Uhm Ji Won menjadi musuh utama penonton drama Korea Little Women selama penayangannya. Berikut fakta pemeran Won Sa… https://t.co/5qa0UwJ33w;140;1579421547000786944;2022-10-10 10:40:15+00:00;Echobox;1;1
69;Kasus positif Corona atau COVID-19 di Indonesia kembali bertambah. Hari ini, terdapat 1.195 kasus positif Corona ba… https://t.co/6JaPKyzd8p;140;1579421515556143106;2022-10-10 10:40:08+00:00;Echobox;3;1
70;BMKG Juanda mengeluarkan imbauan soal potensi cuaca ekstrem seminggu ke depan di Jawa Timur. BPBD Jatim memetakan 1… https://t.co/7az9WuFzdv;140;1579420902433132547;2022-10-10 10:37:42+00:00;Echobox;8;2
71;Sunan Ampel adalah salah satu Wali Songo yang menyebarkan ajaran Islam di Jepara hingga Tuban. Salah satu strategi… https://t.co/Xbf14VClfc;139;1579420584823226368;2022-10-10 10:36:26+00:00;Echobox;11;1
72;Indonesia mencatat sebanyak 1.195 kasus baru COVID-19, Senin (10/10/2022). DKI Jakarta menyumbang kasus terbanyak d… https://t.co/5HDY3VKErN;140;1579420039492833280;2022-10-10 10:34:16+00:00;Echobox;7;2
73;Yudha menang melawan panitia seleksi CPNS Kemendikbud. Alhasil, PTUN Jakarta mengabulkan gugatan Yudha. https://t.co/xwgiSbhLwJ;127;1579419733770010624;2022-10-10 10:33:03+00:00;Echobox;24;7
74;Galian proyek drainase dan trotoar di Jl Kartini, Depok, sempat menimbulkan kemacetan pagi tadi. Pekerjaan tersebut… https://t.co/BmAzYfSuhl;140;1579419708939329536;2022-10-10 10:32:57+00:00;Echobox;2;2
